id,transaction_id,amount,currency,time,verified,deleted,last_update,payer_name,country,city
1,6e98f157-01dc-4872-9346-2522309f80c3,-890.31,EUR,13/08/2020,FALSE,FALSE,None,34ae175d-1d4c,UK,London
2,d5f6ab88-ea4f-4c2d-a9b0-d7e33e36f20a,9169.67,EUR,13/08/2020,FALSE,FALSE,None,b5f73a5d-63f2,USA,Chicago
3,982ace7a-89aa-44ac-9138-ff6b19bce04f,7232.86,EUR,13/08/2020,FALSE,FALSE,None,bbd0780a-612d,UK,London
4,9e6c3026-9bd1-4f66-899b-9baad7d407a7,4632.6,EUR,13/08/2020,FALSE,FALSE,None,76ecfbb9-d5a2,Spain,Madrid
5,268f88ca-2ea8-4c82-807d-17bab4bada2f,2615.28,EUR,13/08/2020,FALSE,FALSE,None,34ae175d-1d4c,UK,London
6,38416e51-065a-4937-a388-894cf80f9192,185.65,EUR,13/08/2020,FALSE,FALSE,None,948fd3c0-0d86,UK,London
7,3c7525db-3eb0-4f33-8148-a935f345732d,-6810.41,EUR,13/08/2020,FALSE,FALSE,None,83c2c69f-0b1f,Austria,Graz
8,1fdca290-1686-4c9d-9206-f41ef9a2c1ec,-9061.33,EUR,13/08/2020,FALSE,FALSE,None,ba3bf93e-9780,Austria,Graz
9,df2376ea-7895-4fca-8422-e6ad3cdaf58a,400.04,EUR,13/08/2020,FALSE,FALSE,None,a41f7b49-5d4f,Austria,Linz
10,80c5ad49-9257-4b53-96aa-e568066d13b4,3850.58,EUR,13/08/2020,FALSE,FALSE,None,6950069a-2f50,Spain,Madrid
11,05ad6ded-44f1-4964-a6a3-f8e48423c0c9,6143.29,EUR,13/08/2020,FALSE,FALSE,None,47173f41-9576,USA,Los Angeles
12,c1df7975-f28f-421d-88dd-344520ec71b9,5829.42,EUR,13/08/2020,FALSE,FALSE,None,fd54ea76-a0f0,Italy,Roma
13,1daf39b9-ea2a-4cd2-b836-d6e11fd4249b,9177.94,EUR,13/08/2020,FALSE,FALSE,None,478dc923-9eb0,Poland,Cracow
14,39f1f438-cc28-4df3-b1d5-60a23eaa24ae,-6704.92,EUR,13/08/2020,FALSE,FALSE,None,577a0732-5102,Germany,Berlin
15,e7e9a14b-40db-4e0b-b764-eaf0a496682a,9740.59,EUR,13/08/2020,FALSE,FALSE,None,bcee66fe-3cc1,Austria,Linz
16,f1f6f8d1-f241-4aa2-b53e-3a1d34a61143,497.92,EUR,13/08/2020,FALSE,FALSE,None,a8e533e5-21b5,USA,New York
17,18182399-3126-4910-b345-ce9403837f02,6859.84,EUR,13/08/2020,FALSE,FALSE,None,c4d33087-8de2,France,Paris
18,07d70cd0-b602-4361-a84f-97031c529d90,5097.52,EUR,13/08/2020,FALSE,FALSE,None,031242ac-2f92,France,Paris
19,6b4fdad4-23a3-46e4-81f0-1129bfbb59ca,-6328.59,EUR,13/08/2020,FALSE,FALSE,None,685e799f-1688,USA,Los Angeles
20,88fe4a42-de39-40fb-8ef2-a0dba064caa7,-557.53,EUR,13/08/2020,FALSE,FALSE,None,76ecfbb9-d5a2,Spain,Madrid
21,e5b30841-d5e2-4d53-8123-4f4df5f861ff,-8752.01,EUR,13/08/2020,FALSE,FALSE,None,5e70fd60-00f2,UK,London
