id,transaction_id,amount,currency,time,verified,deleted,last_update,payer_name,country,city
1,8e24257d-08d0-4d15-a432-a0f7fa2e5d87,1802.33,EUR,13/08/2020,FALSE,TRUE,U742905 - 13/8/2020 11:11:58,4fad998b-64c9,Spain,Madrid
2,6cd1cab0-b510-4be3-848d-d758f465c99e,9585.61,EUR,13/08/2020,TRUE,FALSE,U742905 - 13/8/2020 11:13:18,4bed7ef9-d01e,Austria,Vienna
3,8a73f893-edca-4eb2-a9a8-61b12c69159c,-844.03,EUR,13/08/2020,FALSE,TRUE,U742905 - 13/8/2020 11:06:10,948fd3c0-0d86,UK,Manchester
4,5e0bdef3-b061-435a-8c8b-79d96dfceda3,8149.38,EUR,13/08/2020,TRUE,FALSE,U742905 - 13/8/2020 11:23:02,7a8c6bb3-af33,UK,Durham
5,56c2bc15-e20c-417c-8f6f-e58139a6caae,-3035.12,EUR,13/08/2020,TRUE,FALSE,U742905 - 13/8/2020 11:44:20,9ed9297d-1522,Spain,Barcelona
6,9212218b-3180-4690-ace1-b64f83f81faf,6357.52,EUR,13/08/2020,FALSE,TRUE,U742905 - 13/8/2020 11:25:23,0a4c2462-af2b,Belgium,Antoing
7,dfa3856f-bb52-4127-aa34-837ae5bb0ab0,3721.45,EUR,13/08/2020,FALSE,TRUE,U742905 - 13/8/2020 11:45:07,de55b7b9-3761,Austria,Dornbirn
8,67621698-a81f-4d72-9b55-113290b5cceb,360.68,EUR,13/08/2020,FALSE,TRUE,U742905 - 13/8/2020 11:55:10,2ef50f71-a2b9,Italy,Rome
9,72322af6-52eb-4362-914c-d9f7807082e5,8359.45,EUR,13/08/2020,TRUE,FALSE,U742905 - 13/8/2020 11:45:21,e28b5f1f-f1c7,Austria,Linz
10,da0d4bec-a7df-4e3e-97e3-7b53e9f2b760,1156.67,EUR,13/08/2020,FALSE,TRUE,U742905 - 13/8/2020 11:45:25,8157d349-e7de,UK,London
11,69bbfea9-b024-4111-950a-9aaf527d5a17,424.63,EUR,13/08/2020,TRUE,FALSE,U742905 - 13/8/2020 12:21:54,2c2b6437-de2c,Belgium,Brussles
12,b6c53655-5f5c-40be-94e1-df7fe8adb6e9,7909.56,EUR,13/08/2020,TRUE,FALSE,U742905 - 13/8/2020 11:48:55,b5f73a5d-63f2,USA,Chicago
13,758fe46e-83cc-4efd-a049-a191239f7fe3,3626.75,EUR,13/08/2020,FALSE,TRUE,U742905 - 13/8/2020 11:46:16,9be7bf52-8553,Belgium,Halen
14,9e6ac9a8-89bf-442e-bde1-66ea2d18e84b,3715.11,EUR,13/08/2020,FALSE,TRUE,U742905 - 13/8/2020 11:58:13,d2790d11-1e23,Spain,Bilbao
15,9a27d8c7-a5f4-4a48-bc00-d2fe33f4f051,-5707.41,EUR,13/08/2020,TRUE,TRUE,U742905 - 13/8/2020 11:47:14,72bba397-225d,France,Paris
16,239e508a-be24-45d5-9ea0-a8871e60458d,-4450.43,EUR,13/08/2020,FALSE,TRUE,U742905 - 13/8/2020 11:50:18,6950069a-2f50,Spain,Vigo
17,7cde23c7-20b1-41fd-8533-0b300e360996,9987.03,EUR,13/08/2020,TRUE,FALSE,U742905 - 13/8/2020 12:21:58,e28b5f1f-f1c7,Austria,Dornbirn
18,66060450-d742-4765-85ed-ea8391050922,-2724.7,EUR,13/08/2020,FALSE,TRUE,U742905 - 13/8/2020 12:22:06,e28b5f1f-f1c7,Austria,Vienna
